epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,124.553,1.67326,2.60785,1.6237,0.19014,0.58667,0.42751,0.18772,1.70529,3.38977,1.69265,0.00064,0.00064,0.00064
2,240.432,1.69415,2.39651,1.64659,0.26868,0.12574,0.08993,0.03573,1.99834,3.74667,2.28938,0.00127426,0.00127426,0.00127426
3,355.333,1.81581,2.32359,1.7378,0.04324,0.36444,0.02851,0.00996,2.31976,7.99461,2.42772,0.00188238,0.00188238,0.00188238
4,472.442,1.75916,2.18013,1.75072,0.01222,0.24444,0.00687,0.00229,2.66107,12.8874,2.49629,0.0018812,0.0018812,0.0018812
5,593.032,1.74003,1.99755,1.70752,0.29257,0.13778,0.09696,0.04346,2.8241,3.36479,2.82349,0.0018416,0.0018416,0.0018416
6,721.208,1.74772,1.9524,1.68161,0.3004,0.22667,0.17931,0.0757,2.33335,2.92693,2.28354,0.001802,0.001802,0.001802
7,846.167,1.74002,1.88948,1.65364,0.54364,0.40889,0.41616,0.17406,2.00877,2.17697,2.03329,0.0017624,0.0017624,0.0017624
8,969.366,1.69805,1.80172,1.67163,0.36953,0.28,0.25983,0.11362,2.25427,2.39998,2.02734,0.0017228,0.0017228,0.0017228
9,113.475,1.7191,1.86999,1.68277,0.56717,0.50668,0.4954,0.20356,1.87507,2.32467,1.96583,0.0016832,0.0016832,0.0016832
10,225.974,1.64283,1.71375,1.59309,0.67246,0.5566,0.5609,0.26982,1.82848,1.84844,1.84549,0.0016436,0.0016436,0.0016436
11,338.986,1.62896,1.69414,1.61118,0.62889,0.52722,0.52632,0.23776,1.99789,1.81858,1.91233,0.001604,0.001604,0.001604
12,451.765,1.58914,1.59318,1.59603,0.71023,0.56889,0.59317,0.29756,1.83465,1.71709,1.80877,0.0015644,0.0015644,0.0015644
